03. 光影 (Lighting and Shadows),02. 室內與人造光源 (Indoor & Artificial Light),04. 人物背景探照燈光 (Background searchlight),-,-
03. 光影 (Lighting and Shadows),03. 光線質感與系統光 (Lighting Quality & System Light),01. 柔光 (Soft light),-,-
03. 光影 (Lighting and Shadows),03. 光線質感與系統光 (Lighting Quality & System Light),02. 微光 (Low light),-,-
03. 光影 (Lighting and Shadows),03. 光線質感與系統光 (Lighting Quality & System Light),03. 全局光源 (Global illumination),-,-
03. 光影 (Lighting and Shadows),03. 光線質感與系統光 (Lighting Quality & System Light),04. 反射光源 (Bounce light),-,-
03. 光影 (Lighting and Shadows),04. 物理光學與材質透視 (Physical Optics & Material Light),01. 物體高光反射 (Specular highlight),-,-
03. 光影 (Lighting and Shadows),04. 物理光學與材質透視 (Physical Optics & Material Light),02. 底層透光 (Subsurface scattering),-,-
03. 光影 (Lighting and Shadows),04. 物理光學與材質透視 (Physical Optics & Material Light),03. 玻璃透光 (Light through glass),-,-
03. 光影 (Lighting and Shadows),04. 物理光學與材質透視 (Physical Optics & Material Light),04. 光暈 (Halation),-,-
03. 光影 (Lighting and Shadows),05. 水體與折射光效 (Water & Refractive Caustics),01. 嶙峋水光 (Rippling water light),-,-
03. 光影 (Lighting and Shadows),05. 水體與折射光效 (Water & Refractive Caustics),02. 沙灘底水波光 (Underwater sand caustics),-,-
03. 光影 (Lighting and Shadows),06. 特殊發光與螢光 (Special Emission & Fluorescence),01. 生物螢光 (Bioluminescence),-,-
03. 光影 (Lighting and Shadows),06. 特殊發光與螢光 (Special Emission & Fluorescence),02. 化學螢光 (Chemiluminescence),-,-
03. 光影 (Lighting and Shadows),07. 風格渲染與極端特效 (Stylized & Extreme Effects),01. 極端流光設計 (Extreme light flow design),-,-
03. 光影 (Lighting and Shadows),07. 風格渲染與極端特效 (Stylized & Extreme Effects),02. 爆發強光 (Light burst),-,-
03. 光影 (Lighting and Shadows),07. 風格渲染與極端特效 (Stylized & Extreme Effects),03. 彩虹光 (Rainbow light),-,-
03. 光影 (Lighting and Shadows),07. 風格渲染與極端特效 (Stylized & Extreme Effects),04. 花朵色系 (Floral tone lighting),-,-
03. 光影 (Lighting and Shadows),07. 風格渲染與極端特效 (Stylized & Extreme Effects),05. 萊卡外景 (Leica outdoor aesthetic),-,-
03. 光影 (Lighting and Shadows),08. 光影_自定,-,-,-
04. 動漫畫風格 (Anime Manga Style),01. 傳奇與元老級大師 (Legendary & Pioneer Masters),01. 手塚治虫 (Osamu Tezuka),-,-
04. 動漫畫風格 (Anime Manga Style),01. 傳奇與元老級大師 (Legendary & Pioneer Masters),02. 藤子·F·不二雄 (Fujiko F. Fujio),-,-
04. 動漫畫風格 (Anime Manga Style),01. 傳奇與元老級大師 (Legendary & Pioneer Masters),03. 鳥山明 (Akira Toriyama),-,-
04. 動漫畫風格 (Anime Manga Style),01. 傳奇與元老級大師 (Legendary & Pioneer Masters),04. 松本零士 (Leiji Matsumoto),-,-
04. 動漫畫風格 (Anime Manga Style),01. 傳奇與元老級大師 (Legendary & Pioneer Masters),05. 橫山光輝 (Mitsuteru Yokoyama),-,-
04. 動漫畫風格 (Anime Manga Style),01. 傳奇與元老級大師 (Legendary & Pioneer Masters),06. 永井豪 (Go Nagai),-,-
04. 動漫畫風格 (Anime Manga Style),01. 傳奇與元老級大師 (Legendary & Pioneer Masters),07. 石川賢 (Ken Ishikawa),-,-
04. 動漫畫風格 (Anime Manga Style),02. 王道與熱血少年漫畫家 (Shonen Action & Adventure),01. 尾田榮一郎 (Eiichiro Oda),-,-
04. 動漫畫風格 (Anime Manga Style),02. 王道與熱血少年漫畫家 (Shonen Action & Adventure),02. 岸本齊史 (Masashi Kishimoto),-,-
04. 動漫畫風格 (Anime Manga Style),02. 王道與熱血少年漫畫家 (Shonen Action & Adventure),03. 久保帶人 (Tite Kubo),-,-
04. 動漫畫風格 (Anime Manga Style),02. 王道與熱血少年漫畫家 (Shonen Action & Adventure),04. 富堅義博 (Yoshihiro Togashi),-,-
04. 動漫畫風格 (Anime Manga Style),02. 王道與熱血少年漫畫家 (Shonen Action & Adventure),05. 荒木飛呂彥 (Hirohiko Araki),-,-
04. 動漫畫風格 (Anime Manga Style),02. 王道與熱血少年漫畫家 (Shonen Action & Adventure),06. 荒川弘 (Hiromu Arakawa),-,-
